#t, S, I, R
0.000001 996.999999 3.000001 0.000000 
0.000002 996.988139 3.010671 0.001190 
0.009915 996.976123 3.021482 0.002395 
0.019923 996.964064 3.032331 0.003604 
0.029931 996.951962 3.043220 0.004818 
0.039939 996.939816 3.054148 0.006037 
0.049948 996.927626 3.065115 0.007259 
0.059956 996.915392 3.076121 0.008487 
0.069965 996.903114 3.087167 0.009718 
0.079974 996.890793 3.098253 0.010954 
0.089984 996.878426 3.109379 0.012195 
0.099993 996.866016 3.120545 0.013440 
0.110003 996.853560 3.131751 0.014689 
0.120013 996.841060 3.142997 0.015943 
0.130023 996.828515 3.154284 0.017202 
0.140033 996.815924 3.165611 0.018465 
0.150044 996.803288 3.176979 0.019732 
0.160055 996.790607 3.188388 0.021004 
0.170066 996.777880 3.199838 0.022281 
0.180077 996.765108 3.211330 0.023563 
0.190088 996.752289 3.222862 0.024849 
0.200100 996.739424 3.234436 0.026139 
0.210112 996.726513 3.246052 0.027435 
0.220124 996.713556 3.257710 0.028735 
0.230136 996.700551 3.269409 0.030039 
0.240148 996.687500 3.281151 0.031349 
0.250161 996.674402 3.292935 0.032663 
0.260174 996.661257 3.304761 0.033982 
0.270187 996.648065 3.316630 0.035305 
0.280201 996.634825 3.328542 0.036634 
0.290214 996.621537 3.340496 0.037967 
0.300228 996.608201 3.352493 0.039305 
0.310242 996.594818 3.364534 0.040648 
0.320256 996.581386 3.376618 0.041996 
0.330271 996.567906 3.388745 0.043349 
0.340285 996.554377 3.400917 0.044706 
0.350300 996.540800 3.413132 0.046068 
0.360316 996.527174 3.425390 0.047436 
0.370331 996.513498 3.437693 0.048808 
0.380347 996.499774 3.450041 0.050185 
0.390362 996.486000 3.462432 0.051568 
0.400378 996.472176 3.474869 0.052955 
0.410395 996.458303 3.487350 0.054347 
0.420411 996.444380 3.499876 0.055744 
0.430428 996.430406 3.512447 0.057147 
0.440445 996.416383 3.525063 0.058554 
0.450462 996.402308 3.537725 0.059967 
0.460480 996.388183 3.550433 0.061384 
0.470497 996.374007 3.563186 0.062807 
0.480515 996.359781 3.575985 0.064235 
0.490534 996.345502 3.588830 0.065668 
0.500552 996.331173 3.601721 0.067106 
0.510571 996.316792 3.614659 0.068549 
0.520590 996.302359 3.627643 0.069998 
0.530609 996.287874 3.640674 0.071452 
0.540628 996.273337 3.653752 0.072911 
0.550648 996.258747 3.666877 0.074375 
0.560668 996.244105 3.680050 0.075845 
0.570688 996.229410 3.693269 0.077320 
0.580708 996.214663 3.706537 0.078801 
0.590729 996.199862 3.719852 0.080286 
0.600750 996.185008 3.733215 0.081777 
0.610771 996.170100 3.746626 0.083274 
0.620792 996.155139 3.760086 0.084776 
0.630814 996.140123 3.773594 0.086283 
0.640836 996.125054 3.787150 0.087796 
0.650858 996.109930 3.800756 0.089314 
0.660880 996.094752 3.814410 0.090838 
0.670903 996.079519 3.828114 0.092367 
0.680926 996.064232 3.841866 0.093902 
0.690949 996.048889 3.855669 0.095442 
0.700972 996.033491 3.869521 0.096988 
0.710996 996.018037 3.883423 0.098540 
0.721020 996.002528 3.897375 0.100097 
0.731044 995.986963 3.911378 0.101659 
0.741068 995.971342 3.925430 0.103228 
0.751093 995.955664 3.939534 0.104802 
0.761118 995.939930 3.953688 0.106382 
0.771143 995.924140 3.967893 0.107967 
0.781168 995.908292 3.982149 0.109559 
0.791194 995.892387 3.996457 0.111156 
0.801220 995.876425 4.010816 0.112758 
0.811247 995.860406 4.025227 0.114367 
0.821273 995.844329 4.039690 0.115981 
0.831300 995.828193 4.054205 0.117602 
0.841327 995.812000 4.068772 0.119228 
0.851354 995.795748 4.083392 0.120860 
0.861382 995.779438 4.098064 0.122498 
0.871410 995.763069 4.112789 0.124141 
0.881438 995.746641 4.127568 0.125791 
0.891466 995.730154 4.142399 0.127447 
0.901495 995.713607 4.157284 0.129109 
0.911524 995.697001 4.172223 0.130777 
0.921553 995.680334 4.187215 0.132450 
0.931583 995.663608 4.202262 0.134130 
0.941613 995.646822 4.217362 0.135816 
0.951643 995.629975 4.232517 0.137508 
0.961673 995.613067 4.247727 0.139206 
0.971704 995.596098 4.262991 0.140911 
0.981735 995.579068 4.278311 0.142621 
0.991766 995.561977 4.293685 0.144338 
1.001798 995.544824 4.309115 0.146061 
1.011830 995.527609 4.324601 0.147790 
1.021862 995.510332 4.340142 0.149526 
1.031894 995.492993 4.355740 0.151267 
1.041927 995.475591 4.371393 0.153015 
1.051960 995.458127 4.387103 0.154770 
1.061993 995.440599 4.402870 0.156531 
1.072027 995.423009 4.418693 0.158298 
1.082061 995.405355 4.434574 0.160071 
1.092095 995.387637 4.450512 0.161851 
1.102129 995.369856 4.466507 0.163638 
1.112164 995.352010 4.482560 0.165430 
1.122199 995.334100 4.498670 0.167230 
1.132235 995.316125 4.514839 0.169036 
1.142270 995.298086 4.531066 0.170848 
1.152306 995.279981 4.547351 0.172667 
1.162343 995.261812 4.563696 0.174493 
1.172379 995.243576 4.580099 0.176325 
1.182416 995.225275 4.596561 0.178164 
1.192453 995.206908 4.613083 0.180009 
1.202491 995.188475 4.629664 0.181861 
1.212529 995.169975 4.646305 0.183720 
1.222567 995.151408 4.663005 0.185586 
1.232605 995.132775 4.679767 0.187459 
1.242644 995.114074 4.696588 0.189338 
1.252683 995.095306 4.713470 0.191224 
1.262722 995.076470 4.730413 0.193117 
1.272762 995.057566 4.747417 0.195016 
1.282802 995.038594 4.764483 0.196923 
1.292842 995.019554 4.781610 0.198837 
1.302883 995.000445 4.798798 0.200757 
1.312924 994.981267 4.816049 0.202684 
1.322965 994.962019 4.833362 0.204619 
1.333007 994.942702 4.850737 0.206560 
1.343049 994.923316 4.868175 0.208509 
1.353091 994.903860 4.885676 0.210464 
1.363134 994.884333 4.903240 0.212427 
1.373177 994.864736 4.920867 0.214397 
1.383220 994.845068 4.938558 0.216374 
1.393264 994.825330 4.956312 0.218358 
1.403307 994.805520 4.974131 0.220349 
1.413352 994.785638 4.992014 0.222348 
1.423396 994.765685 5.009961 0.224353 
1.433441 994.745660 5.027974 0.226367 
1.443486 994.725562 5.046051 0.228387 
1.453532 994.705392 5.064193 0.230415 
1.463578 994.685150 5.082401 0.232450 
1.473624 994.664834 5.100674 0.234492 
1.483671 994.644445 5.119013 0.236542 
1.493718 994.623982 5.137419 0.238599 
1.503765 994.603445 5.155891 0.240664 
1.513813 994.582835 5.174429 0.242736 
1.523861 994.562150 5.193034 0.244816 
1.533909 994.541390 5.211707 0.246903 
1.543958 994.520555 5.230447 0.248998 
1.554007 994.499645 5.249254 0.251101 
1.564056 994.478660 5.268129 0.253211 
1.574106 994.457599 5.287073 0.255329 
1.584156 994.436461 5.306084 0.257454 
1.594207 994.415248 5.325165 0.259587 
1.604257 994.393958 5.344314 0.261728 
1.614309 994.372591 5.363532 0.263877 
1.624360 994.351147 5.382820 0.266034 
1.634412 994.329625 5.402177 0.268198 
1.644464 994.308026 5.421604 0.270370 
1.654517 994.286349 5.441101 0.272550 
1.664570 994.264593 5.460668 0.274739 
1.674623 994.242759 5.480307 0.276935 
1.684677 994.220846 5.500016 0.279139 
1.694731 994.198854 5.519796 0.281351 
1.704786 994.176782 5.539647 0.283571 
1.714840 994.154631 5.559570 0.285799 
1.724896 994.132400 5.579565 0.288035 
1.734951 994.110089 5.599632 0.290279 
1.745007 994.087697 5.619772 0.292532 
1.755064 994.065224 5.639984 0.294792 
1.765120 994.042669 5.660269 0.297061 
1.775177 994.020034 5.680628 0.299338 
1.785235 993.997317 5.701060 0.301624 
1.795293 993.974517 5.721565 0.303917 
1.805351 993.951635 5.742145 0.306219 
1.815410 993.928671 5.762799 0.308530 
1.825469 993.905624 5.783528 0.310849 
1.835528 993.882493 5.804331 0.313176 
1.845588 993.859279 5.825210 0.315512 
1.855648 993.835981 5.846163 0.317856 
1.865709 993.812599 5.867193 0.320209 
1.875770 993.789132 5.888298 0.322570 
1.885831 993.765580 5.909480 0.324940 
1.895893 993.741944 5.930738 0.327318 
1.905955 993.718222 5.952073 0.329705 
1.916018 993.694414 5.973485 0.332101 
1.926081 993.670520 5.994974 0.334506 
1.936144 993.646540 6.016541 0.336919 
1.946208 993.622473 6.038186 0.339341 
1.956272 993.598320 6.059909 0.341772 
1.966336 993.574079 6.081710 0.344212 
1.976401 993.549750 6.103590 0.346660 
1.986467 993.525333 6.125549 0.349118 
1.996533 993.500829 6.147587 0.351584 
2.006599 993.476235 6.169705 0.354060 
2.016666 993.451553 6.191903 0.356544 
2.026733 993.426781 6.214181 0.359038 
2.036800 993.401920 6.236540 0.361540 
2.046868 993.376969 6.258979 0.364052 
2.056937 993.351928 6.281499 0.366573 
2.067005 993.326797 6.304101 0.369103 
2.077074 993.301574 6.326784 0.371642 
2.087144 993.276260 6.349549 0.374190 
2.097214 993.250855 6.372397 0.376748 
2.107285 993.225358 6.395327 0.379315 
2.117356 993.199769 6.418340 0.381891 
2.127427 993.174087 6.441436 0.384477 
2.137499 993.148312 6.464615 0.387072 
2.147571 993.122445 6.487879 0.389677 
2.157643 993.096483 6.511226 0.392291 
2.167717 993.070428 6.534657 0.394915 
2.177790 993.044278 6.558174 0.397548 
2.187864 993.018034 6.581775 0.400191 
2.197938 992.991695 6.605462 0.402843 
2.208013 992.965261 6.629234 0.405505 
2.218089 992.938731 6.653092 0.408177 
2.228164 992.912105 6.677036 0.410858 
2.238241 992.885383 6.701067 0.413550 
2.248317 992.858564 6.725185 0.416251 
2.258394 992.831649 6.749390 0.418962 
2.268472 992.804635 6.773682 0.421683 
2.278550 992.777525 6.798062 0.424413 
2.288628 992.750316 6.822530 0.427154 
2.298707 992.723008 6.847087 0.429905 
2.308787 992.695602 6.871733 0.432665 
2.318867 992.668097 6.896467 0.435436 
2.328947 992.640492 6.921291 0.438217 
2.339028 992.612787 6.946205 0.441008 
2.349109 992.584982 6.971209 0.443809 
2.359191 992.557076 6.996303 0.446621 
2.369273 992.529070 7.021488 0.449442 
2.379356 992.500962 7.046764 0.452274 
2.389439 992.472752 7.072131 0.455117 
2.399523 992.444440 7.097591 0.457969 
2.409607 992.416026 7.123142 0.460832 
2.419691 992.387509 7.148785 0.463706 
2.429776 992.358888 7.174522 0.466590 
2.439862 992.330165 7.200351 0.469484 
2.449948 992.301337 7.226274 0.472389 
2.460035 992.272404 7.252291 0.475305 
2.470122 992.243367 7.278401 0.478231 
2.480209 992.214225 7.304606 0.481168 
2.490297 992.184978 7.330906 0.484116 
2.500386 992.155624 7.357301 0.487075 
2.510475 992.126164 7.383792 0.490044 
2.520564 992.096598 7.410378 0.493024 
2.530654 992.066924 7.437061 0.496015 
2.540745 992.037144 7.463840 0.499017 
2.550836 992.007255 7.490716 0.502030 
2.560928 991.977258 7.517689 0.505054 
2.571020 991.947152 7.544760 0.508088 
2.581112 991.916937 7.571928 0.511134 
2.591205 991.886613 7.599195 0.514192 
2.601299 991.856179 7.626561 0.517260 
2.611393 991.825635 7.654025 0.520339 
2.621488 991.794980 7.681590 0.523430 
2.631583 991.764215 7.709253 0.526532 
2.641678 991.733337 7.737017 0.529645 
2.651775 991.702348 7.764882 0.532770 
2.661871 991.671247 7.792847 0.535906 
2.671969 991.640033 7.820913 0.539054 
2.682067 991.608705 7.849081 0.542213 
2.692165 991.577265 7.877351 0.545384 
2.702264 991.545710 7.905724 0.548566 
2.712363 991.514041 7.934199 0.551760 
2.722463 991.482258 7.962777 0.554966 
2.732564 991.450359 7.991458 0.558183 
2.742665 991.418344 8.020244 0.561412 
2.752766 991.386214 8.049133 0.564653 
2.762868 991.353967 8.078128 0.567905 
2.772971 991.321603 8.107227 0.571170 
2.783074 991.289122 8.136431 0.574447 
2.793178 991.256523 8.165741 0.577735 
2.803282 991.223806 8.195158 0.581036 
2.813387 991.190971 8.224681 0.584348 
2.823493 991.158016 8.254311 0.587673 
2.833599 991.124942 8.284048 0.591010 
2.843705 991.091748 8.313893 0.594359 
2.853812 991.058434 8.343846 0.597720 
2.863920 991.024999 8.373907 0.601094 
2.874028 990.991443 8.404077 0.604480 
2.884137 990.957765 8.434357 0.607879 
2.894246 990.923965 8.464746 0.611289 
2.904356 990.890042 8.495245 0.614713 
2.914467 990.855996 8.525855 0.618149 
2.924578 990.821827 8.556576 0.621597 
2.934690 990.787534 8.587408 0.625058 
2.944802 990.753117 8.618352 0.628532 
2.954915 990.718574 8.649407 0.632018 
2.965029 990.683907 8.680576 0.635518 
2.975143 990.649113 8.711857 0.639030 
2.985257 990.614194 8.743252 0.642555 
2.995373 990.579148 8.774760 0.646092 
3.005489 990.543974 8.806383 0.649643 
3.015605 990.508673 8.838120 0.653207 
3.025722 990.473306 8.869916 0.656778 
3.035822 990.437877 8.901769 0.660355 
3.045904 990.402384 8.933678 0.663938 
3.055968 990.366829 8.965643 0.667528 
3.066014 990.331210 8.997665 0.671125 
3.076043 990.295529 9.029743 0.674728 
3.086054 990.259785 9.061878 0.678337 
3.096047 990.223978 9.094069 0.681953 
3.106023 990.188108 9.126317 0.685575 
3.115981 990.152175 9.158620 0.689204 
3.125921 990.116180 9.190981 0.692840 
3.135845 990.080122 9.223397 0.696481 
3.145751 990.044000 9.255870 0.700130 
3.155639 990.007816 9.288399 0.703784 
3.165511 989.971569 9.320985 0.707446 
3.175365 989.935260 9.353627 0.711113 
3.185203 989.898887 9.386325 0.714788 
3.195023 989.862452 9.419080 0.718468 
3.204826 989.825954 9.451890 0.722156 
3.214613 989.789393 9.484758 0.725849 
3.224383 989.752769 9.517681 0.729549 
3.234135 989.716083 9.550661 0.733256 
3.243872 989.679334 9.583697 0.736969 
3.253591 989.642522 9.616790 0.740689 
3.263294 989.605647 9.649938 0.744415 
3.272980 989.568709 9.683144 0.748147 
3.282650 989.531709 9.716405 0.751886 
3.292304 989.494646 9.749722 0.755632 
3.301941 989.457520 9.783096 0.759384 
3.311562 989.420331 9.816527 0.763142 
3.321166 989.383080 9.850013 0.766907 
3.330755 989.345765 9.883556 0.770679 
3.340327 989.308388 9.917155 0.774457 
3.349883 989.270949 9.950810 0.778241 
3.359423 989.233446 9.984521 0.782032 
3.368947 989.195881 10.018289 0.785830 
3.378455 989.158253 10.052113 0.789633 
3.387948 989.120563 10.085993 0.793444 
3.397424 989.082810 10.119930 0.797261 
3.406885 989.044994 10.153922 0.801084 
3.416330 989.007115 10.187971 0.804914 
3.425760 988.969174 10.222076 0.808750 
3.435173 988.931169 10.256238 0.812593 
3.444572 988.893103 10.290455 0.816442 
3.453954 988.854973 10.324729 0.820298 
3.463322 988.816781 10.359059 0.824160 
3.472674 988.778526 10.393445 0.828029 
3.482010 988.740209 10.427887 0.831904 
3.491332 988.701828 10.462386 0.835786 
3.500638 988.663386 10.496940 0.839674 
3.509929 988.624880 10.531551 0.843569 
3.519205 988.586312 10.566218 0.847470 
3.528465 988.547681 10.600941 0.851378 
3.537711 988.508988 10.635720 0.855292 
3.546942 988.470232 10.670556 0.859213 
3.556158 988.431413 10.705447 0.863140 
3.565358 988.392532 10.740395 0.867073 
3.574545 988.353588 10.775399 0.871014 
3.583716 988.314581 10.810459 0.874960 
3.592872 988.275512 10.845575 0.878913 
3.602014 988.236380 10.880747 0.882873 
3.611142 988.197186 10.915975 0.886839 
3.620254 988.157928 10.951260 0.890812 
3.629352 988.118609 10.986600 0.894791 
3.638436 988.079227 11.021997 0.898776 
3.647505 988.039782 11.057450 0.902768 
3.656560 988.000274 11.092959 0.906767 
3.665600 987.960704 11.128524 0.910772 
3.674626 987.921072 11.164145 0.914783 
3.683638 987.881377 11.199822 0.918802 
3.692636 987.841619 11.235555 0.922826 
3.701619 987.801799 11.271344 0.926857 
3.710589 987.761916 11.307189 0.930895 
3.719544 987.721971 11.343091 0.934939 
3.728485 987.681963 11.379048 0.938989 
3.737413 987.641892 11.415061 0.943046 
3.746326 987.601760 11.451131 0.947110 
3.755225 987.561564 11.487256 0.951180 
3.764111 987.521306 11.523438 0.955256 
3.772983 987.480986 11.559675 0.959339 
3.781841 987.440602 11.595969 0.963429 
3.790685 987.400157 11.632318 0.967525 
3.799516 987.359649 11.668724 0.971627 
3.808333 987.319078 11.705185 0.975736 
3.817136 987.278445 11.741703 0.979852 
3.825926 987.237750 11.778277 0.983974 
3.834703 987.196992 11.814906 0.988102 
3.843466 987.156171 11.851592 0.992237 
3.852215 987.115288 11.888333 0.996379 
3.860951 987.074343 11.925130 1.000527 
3.869674 987.033324 11.961994 1.004682 
3.878386 986.992158 11.998989 1.008853 
3.887102 986.950843 12.036118 1.013039 
3.895824 986.909379 12.073381 1.017240 
3.904550 986.867766 12.110777 1.021457 
3.913281 986.826003 12.148308 1.025688 
3.922017 986.784090 12.185975 1.029936 
3.930757 986.742025 12.223776 1.034199 
3.939503 986.699809 12.261714 1.038477 
3.948253 986.657441 12.299788 1.042771 
3.957007 986.614921 12.337999 1.047080 
3.965767 986.572247 12.376347 1.051406 
3.974531 986.529420 12.414834 1.055747 
3.983300 986.486438 12.453459 1.060103 
3.992073 986.443302 12.492222 1.064476 
4.000851 986.400010 12.531125 1.068865 
4.009634 986.356563 12.570168 1.073269 
4.018421 986.312959 12.609351 1.077690 
4.027213 986.269198 12.648675 1.082127 
4.036010 986.225280 12.688140 1.086580 
4.044811 986.181204 12.727747 1.091049 
4.053617 986.136969 12.767497 1.095535 
4.062428 986.092575 12.807389 1.100036 
4.071243 986.048021 12.847424 1.104555 
4.080062 986.003307 12.887604 1.109089 
4.088886 985.958432 12.927927 1.113640 
4.097715 985.913396 12.968396 1.118208 
4.106548 985.868198 13.009009 1.122793 
4.115386 985.822838 13.049769 1.127394 
4.124228 985.777314 13.090675 1.132012 
4.133074 985.731626 13.131727 1.136646 
4.141925 985.685775 13.172928 1.141298 
4.150781 985.639758 13.214276 1.145966 
4.159641 985.593576 13.255772 1.150652 
4.168505 985.547229 13.297417 1.155354 
4.177374 985.500714 13.339212 1.160074 
4.186247 985.454033 13.381157 1.164811 
4.195125 985.407183 13.423252 1.169565 
4.204007 985.360166 13.465498 1.174336 
4.212893 985.312979 13.507896 1.179125 
4.221784 985.265623 13.550446 1.183931 
4.230679 985.218097 13.593148 1.188755 
4.239579 985.170400 13.636004 1.193596 
4.248483 985.122532 13.679013 1.198455 
4.257391 985.074492 13.722177 1.203331 
4.266303 985.026279 13.765495 1.208226 
4.275220 984.977893 13.808969 1.213138 
4.284141 984.929334 13.852598 1.218068 
4.293067 984.880600 13.896384 1.223016 
4.301996 984.831691 13.940327 1.227982 
4.310930 984.782607 13.984427 1.232966 
4.319868 984.733347 14.028685 1.237968 
4.328811 984.683909 14.073102 1.242988 
4.337757 984.634295 14.117678 1.248027 
4.346708 984.584502 14.162414 1.253084 
4.355663 984.534530 14.207310 1.258159 
4.364622 984.484380 14.252367 1.263253 
4.373586 984.434049 14.297585 1.268366 
4.382554 984.383538 14.342966 1.273497 
4.391525 984.332845 14.388508 1.278646 
4.400501 984.281971 14.434214 1.283815 
4.409481 984.230914 14.480084 1.289002 
4.418466 984.179674 14.526118 1.294208 
4.427454 984.128251 14.572316 1.299433 
4.436446 984.076643 14.618680 1.304677 
4.445443 984.024850 14.665210 1.309940 
4.454444 983.972871 14.711907 1.315222 
4.463448 983.920706 14.758770 1.320524 
4.472457 983.868354 14.805802 1.325845 
4.481470 983.815814 14.853001 1.331185 
4.490487 983.763086 14.900370 1.336544 
4.499508 983.710169 14.947908 1.341923 
4.508533 983.657062 14.995616 1.347322 
4.517562 983.603765 15.043495 1.352740 
4.526595 983.550277 15.091545 1.358178 
4.535632 983.496597 15.139767 1.363636 
4.544673 983.442725 15.188162 1.369114 
4.553718 983.388660 15.236729 1.374611 
4.562767 983.334401 15.285470 1.380129 
4.571820 983.279948 15.334386 1.385666 
4.580877 983.225300 15.383476 1.391224 
4.589938 983.170456 15.432742 1.396802 
4.599003 983.115415 15.482184 1.402400 
4.608072 983.060178 15.531803 1.408019 
4.617145 983.004742 15.581600 1.413658 
4.626221 982.949109 15.631574 1.419317 
4.635302 982.893276 15.681727 1.424998 
4.644386 982.837243 15.732059 1.430698 
4.653475 982.781009 15.782571 1.436420 
4.662567 982.724574 15.833263 1.442162 
4.671663 982.667938 15.884137 1.447926 
4.680763 982.611098 15.935192 1.453710 
4.689866 982.554055 15.986430 1.459515 
4.698974 982.496808 16.037851 1.465341 
4.708085 982.439356 16.089455 1.471189 
4.717201 982.381698 16.141244 1.477058 
4.726320 982.323834 16.193218 1.482948 
4.735443 982.265763 16.245377 1.488860 
4.744569 982.207485 16.297723 1.494793 
4.753700 982.148997 16.350255 1.500747 
4.762834 982.090301 16.402975 1.506724 
4.771972 982.031395 16.455884 1.512722 
4.781114 981.972277 16.508981 1.518742 
4.790259 981.912949 16.562268 1.524783 
4.799408 981.853408 16.615745 1.530847 
4.808561 981.793654 16.669413 1.536933 
4.817718 981.733687 16.723272 1.543041 
4.826878 981.673505 16.777324 1.549171 
4.836042 981.613108 16.831568 1.555323 
4.845210 981.552496 16.886006 1.561498 
4.854382 981.491666 16.940639 1.567696 
4.863557 981.430619 16.995466 1.573915 
4.872736 981.369354 17.050489 1.580158 
4.881918 981.307869 17.105708 1.586423 
4.891104 981.246165 17.161124 1.592711 
4.900294 981.184241 17.216737 1.599022 
4.909488 981.122095 17.272550 1.605355 
4.918685 981.059727 17.328561 1.611712 
4.927886 980.997136 17.384772 1.618092 
4.937090 980.934322 17.441183 1.624495 
4.946298 980.871283 17.497795 1.630922 
4.955509 980.808019 17.554610 1.637372 
4.964725 980.744529 17.611626 1.643845 
4.973943 980.680812 17.668847 1.650342 
4.983166 980.616867 17.726271 1.656862 
4.992391 980.552695 17.783899 1.663406 
5.001621 980.488292 17.841734 1.669974 
5.010854 980.423660 17.899774 1.676566 
5.020090 980.358797 17.958021 1.683182 
5.029330 980.293703 18.016475 1.689822 
5.038574 980.228376 18.075138 1.696486 
5.047821 980.162816 18.134010 1.703174 
5.057072 980.097022 18.193092 1.709886 
5.066326 980.030992 18.252384 1.716623 
5.075584 979.964728 18.311888 1.723385 
5.084845 979.898226 18.371603 1.730171 
5.094109 979.831487 18.431531 1.736982 
5.103377 979.764510 18.491672 1.743817 
5.112649 979.697294 18.552028 1.750678 
5.121924 979.629838 18.612598 1.757563 
5.131202 979.562142 18.673385 1.764474 
5.140484 979.494204 18.734387 1.771409 
5.149770 979.426023 18.795607 1.778370 
5.159059 979.357599 18.857045 1.785356 
5.168351 979.288931 18.918701 1.792368 
5.177646 979.220018 18.980577 1.799405 
5.186945 979.150859 19.042674 1.806467 
5.196248 979.081454 19.104991 1.813556 
5.205554 979.011801 19.167530 1.820670 
5.214863 978.941899 19.230291 1.827810 
5.224176 978.871748 19.293276 1.834976 
5.233492 978.801347 19.356485 1.842168 
5.242811 978.730695 19.419919 1.849386 
5.252134 978.659791 19.483578 1.856631 
5.261460 978.588634 19.547464 1.863901 
5.270789 978.517224 19.611578 1.871199 
5.280122 978.445559 19.675919 1.878523 
5.289458 978.373638 19.740489 1.885873 
5.298798 978.301461 19.805289 1.893250 
5.308141 978.229027 19.870319 1.900654 
5.317487 978.156334 19.935580 1.908085 
5.326836 978.083383 20.001074 1.915543 
5.336189 978.010171 20.066800 1.923029 
5.345545 977.936698 20.132760 1.930541 
5.354904 977.862964 20.198955 1.938081 
5.364267 977.788967 20.265385 1.945648 
5.373633 977.714706 20.332051 1.953243 
5.383002 977.640181 20.398954 1.960865 
5.392374 977.565390 20.466094 1.968515 
5.401750 977.490333 20.533474 1.976193 
5.411129 977.415008 20.601093 1.983899 
5.420511 977.339415 20.668952 1.991633 
5.429896 977.263553 20.737052 1.999395 
5.439285 977.187420 20.805394 2.007186 
5.448677 977.111017 20.873979 2.015005 
5.458072 977.034341 20.942807 2.022852 
5.467470 976.957392 21.011880 2.030727 
5.476871 976.880169 21.081199 2.038632 
5.486276 976.802672 21.150763 2.046565 
5.495684 976.724898 21.220575 2.054527 
5.505095 976.646847 21.290635 2.062518 
5.514509 976.568519 21.360943 2.070538 
5.523927 976.489911 21.431501 2.078588 
5.533348 976.411024 21.502309 2.086666 
5.542771 976.331856 21.573369 2.094774 
5.552198 976.252406 21.644682 2.102912 
5.561628 976.172674 21.716247 2.111079 
5.571062 976.092658 21.788066 2.119276 
5.580498 976.012357 21.860141 2.127503 
5.589938 975.931770 21.932471 2.135760 
5.599380 975.850896 22.005057 2.144046 
5.608826 975.769735 22.077902 2.152363 
5.618275 975.688285 22.151005 2.160711 
5.627727 975.606545 22.224367 2.169088 
5.637182 975.524514 22.297989 2.177497 
5.646641 975.442192 22.371873 2.185935 
5.656102 975.359576 22.446019 2.194405 
5.665566 975.276667 22.520427 2.202905 
5.675034 975.193463 22.595100 2.211437 
5.684505 975.109963 22.670038 2.219999 
5.693978 975.026166 22.745241 2.228593 
5.703455 974.942071 22.820711 2.237217 
5.712935 974.857678 22.896449 2.245874 
5.722418 974.772984 22.972455 2.254562 
5.731904 974.687988 23.048731 2.263281 
5.741393 974.602691 23.125277 2.272032 
5.750885 974.517090 23.202094 2.280815 
5.760380 974.431186 23.279184 2.289631 
5.769879 974.344975 23.356547 2.298478 
5.779380 974.258459 23.434184 2.307357 
5.788884 974.171634 23.512096 2.316269 
5.798391 974.084502 23.590285 2.325213 
5.807902 973.997059 23.668750 2.334190 
5.817415 973.909306 23.747494 2.343200 
5.826931 973.821241 23.826517 2.352242 
5.836451 973.732863 23.905819 2.361318 
5.845973 973.644171 23.985403 2.370426 
5.855498 973.555164 24.065268 2.379568 
5.865027 973.465841 24.145416 2.388743 
5.874558 973.376200 24.225848 2.397951 
5.884092 973.286241 24.306566 2.407193 
5.893630 973.195963 24.387568 2.416469 
5.903170 973.105364 24.468858 2.425778 
5.912713 973.014443 24.550436 2.435121 
5.922259 972.923199 24.632302 2.444499 
5.931809 972.831631 24.714458 2.453911 
5.941361 972.739738 24.796905 2.463356 
5.950916 972.647519 24.879644 2.472837 
5.960474 972.554972 24.962676 2.482352 
5.970035 972.462097 25.046002 2.491901 
5.979599 972.368892 25.129623 2.501486 
5.989165 972.275356 25.213539 2.511105 
5.998735 972.181488 25.297753 2.520760 
6.008308 972.087286 25.382264 2.530449 
6.017884 971.992751 25.467075 2.540174 
6.027462 971.897880 25.552185 2.549935 
6.037044 971.802672 25.637597 2.559731 
6.046628 971.707127 25.723311 2.569563 
6.056215 971.611242 25.809328 2.579430 
6.065805 971.515017 25.895649 2.589334 
6.075398 971.418451 25.982276 2.599274 
6.084994 971.321542 26.069208 2.609250 
6.094593 971.224289 26.156449 2.619262 
6.104195 971.126691 26.243998 2.629311 
6.113800 971.028747 26.331856 2.639397 
6.123407 970.930456 26.420025 2.649519 
6.133018 970.831816 26.508505 2.659678 
6.142631 970.732826 26.597299 2.669875 
6.152247 970.633485 26.686406 2.680108 
6.161866 970.533792 26.775828 2.690379 
6.171488 970.433746 26.865567 2.700688 
6.181113 970.333344 26.955622 2.711034 
6.190740 970.232587 27.045996 2.721418 
6.200371 970.131472 27.136688 2.731839 
6.210004 970.029999 27.227702 2.742299 
6.219640 969.928166 27.319037 2.752797 
6.229279 969.825973 27.410694 2.763333 
6.238921 969.723417 27.502676 2.773908 
6.248566 969.620497 27.594982 2.784521 
6.258213 969.517213 27.687614 2.795173 
6.267863 969.413563 27.780573 2.805864 
6.277517 969.309545 27.873861 2.816594 
6.287173 969.205159 27.967478 2.827363 
6.296831 969.100403 28.061426 2.838172 
6.306493 968.995276 28.155705 2.849019 
6.316157 968.889776 28.250317 2.859907 
6.325825 968.783903 28.345263 2.870834 
6.335495 968.677654 28.440544 2.881801 
6.345168 968.571030 28.536162 2.892809 
6.354843 968.464027 28.632117 2.903856 
6.364522 968.356646 28.728410 2.914944 
6.374203 968.248884 28.825044 2.926072 
6.383887 968.140741 28.922018 2.937241 
6.393574 968.032214 29.019335 2.948451 
